"total_march_covid_deaths","Name","Population","Land.area.mi.2.","Water.area.mi.2.","state_num","flesch","favorite_count","id","lang","text","user_location"
814,"California","39,512,223","155,779","7,916",5,78.8728571428572,0,1230606509802844160,"en","But there is nothing to worry about...","California, USA"
62,"Oregon","4,217,737","95,988","2,391",37,47.394347826087,0,1233625817298530304,"en","I am just off the phone with @OHAOregon Director Pat Allen for a briefing on the first diagnosed case of coronavirus in Orego","Portland Oregon"
510,"Washington","7,614,893","66,456","4,842",47,51.175,0,1233632552667287552,"en","If you believe @realDonaldTrumps words about the new hoax, then you are really stupid. Just today new #coronavirus cases we","Washington state "
398,"Colorado","5,758,736","103,642","452",6,47.394347826087,0,1233626898942423040,"en","@DavidShuster Sounds a bit dramatic but I guess we'll see. Is he talking about common cold coronavirus? Because I just got over that.","Colorado, USA"
3191,"New York","19,453,561","47,126","7,429",32,56.6057142857143,0,1232832254826688512,"en","The man who cut funding for the clean needle program in Indiana that single-handedly caused an HIV-AIDS outbreak has been pu","New York, NY"
0,"North Dakota","762,062","69,001","1,698",34,-4.34999999999997,5,1232820556132765696,"en","Ivanka is working on the coronavirus vaccine, supervised by coronavirus czar and supreme medical expert Mike Pence. Nobody panic. Were gonna be okay! #coronavirususa","North Dakota, USA"
510,"Washington","7,614,893","66,456","4,842",47,51.175,0,1233623582309150720,"en","To keep everyone informed, we have confirmed case of COVID-19 at Jackson HS. We are in ongoing communication w/ @WADept","Seattle, Washington"
3725,"New Jersey","8,882,190","7,354","1,368",30,57.2336363636364,0,1230604243754770432,"en","Coronavirus spike protein just mapped, leading way to vaccine | Live Science","New Jersey"
898,"Massachusetts","6,892,503","7,800","2,754",21,47.394347826087,0,1233621342806777856,"en","South Korea calls Coronavirus a crisis. Canada calls it a crisis. The UK calls it a crisis. Germany calls it a crisis. Japan","Massachusetts, USA"
510,"Washington","7,614,893","66,456","4,842",47,3.25521739130437,4,1232832639457005568,"en","@AkilahObviously dont forget about how mike pence unilaterally decided to withhold a needle exchange program in indiana that exacerbated the rural HIV epidemic","Washington, DC"
367,"Texas","28,995,881","261,232","7,365",43,-29.1949999999999,3,1232820874350383104,"en","Trump dissing @SpeakerPelosiis Unfuckingbelievable. While we face problems dealing w/ Coronavirus because Trump dismantled our response department for pandemics. #CoronaVirusUpdates","Texas, USA"
367,"Texas","28,995,881","261,232","7,365",43,78.8728571428572,0,1230600394876817408,"en","But there is nothing to worry about...","Texas, USA"
3191,"New York","19,453,561","47,126","7,429",32,35.948,290,1229138385828225024,"en","Though there are only a few known cases in the U.S., the coronavirus outbreak has left some Asian-Americans feeling an unsettling level of public scrutiny","New York City"
0,"Alaska","731,545","570,641","94,743",2,46.0686363636364,0,1226237229602754560,"en","Hey @PeteButtigieg is totally right! I'm very worried about meeting the moment esp. with what's happening in China right now. I k","Alaska, USA"
76,"Minnesota","5,639,632","79,627","7,309",23,55.405,0,1226063853047472128,"en","A touching moment was captured when Chen Ying, a nurse working in a quarantined hospital ward in eastern China's Zhejiang","Minnesota, USA"
169,"Virginia","8,535,519","39,490","3,285",46,18.4442857142857,0,1225504354670718976,"en","HENN Designs Sino-French Aeronautics Campus in China","Richmond, VA | Kuwait"
510,"Washington","7,614,893","66,456","4,842",47,65.2959090909091,0,1227259946883923968,"en","I will call out Bloomberg on race-basing anti-gun policies the same way I called out Yang for saying white people will sh","Seattle, Washington"
814,"California","39,512,223","155,779","7,916",5,31.97,0,1227246098038710272,"en","Russia Planning to Build Powerful New Supercomputers After Seeing Its Technology Lag Behind U.S. And China","California, USA"
814,"California","39,512,223","155,779","7,916",5,67.3289473684211,0,1227036553681092608,"en","Things that make you go Hmmmmm: Coronavirus came out, protesters went away. (someone else thought of this, just sharing)","California, USA"
1736,"Michigan","9,986,857","56,539","40,175",22,69.1413636363636,0,1229855372648886272,"en","Prayers for the people of China. The Coronavirus was leaked on purpose to stop the protests. And now they are being r","Michigan, USA"
814,"California","39,512,223","155,779","7,916",5,57.605,0,1227095053547401216,"en","Cutting the CDC in the middle of a pandemic is not viable in a functioning republic. We do not currently have one.","California, USA"
436,"Indiana","6,732,219","35,826","593",14,53.971052631579,0,1227198813368201216,"en","Sick: Border Patrol officers intercepted a passenger from China carrying 200 dead birds in his suitcase He was trying","Indiana, USA"
169,"Virginia","8,535,519","39,490","3,285",46,30.3329411764706,0,1229876306269044736,"en","BREAKING: Trump Administration is declaring Chinese state media in US ""offices of foreign missions,"" meaning personnel, p","Virginia"
21,"New Mexico","2,096,829","121,298","292",31,72.9868181818182,0,1227097140301713408,"en","Feb 10, 2020 - Information for 18 cases of #2019nCoV in Malaysia as 5pm today. Out of 18 cases, six are Malaysians an","New Mexico, USA"
814,"California","39,512,223","155,779","7,916",5,53.7595454545455,0,1223399726231326720,"en","GREAT NEWS. We are told that our article helped move the needle as the US government has taken the rational precautionary mea","Northern California"
1736,"Michigan","9,986,857","56,539","40,175",22,41.2367567567568,6,1226213150678306816,"en","@schmidci @CDCgov I've been watching coronavirus reports from places like Singapore, where there are cases. That reporting is more transparent, honest, helpful, more grownup than what we're getting in the US. CDC is dropping the ball again.","Michigan, USA"
367,"Texas","28,995,881","261,232","7,365",43,61.89,0,1233567749512798208,"en","Canada Dry dropping a loud pack just in time to combat coronavirus. Look at that.","Texas, USA"
367,"Texas","28,995,881","261,232","7,365",43,76.8322727272727,0,1226212031239524352,"en","On Johns Hopkins virus dashboard: Not sure what it means, but striking that 722 of current 724 deaths are in mainland Ch","Plano, Texas (Dallas Suburb)"
125,"Mississippi","2,976,149","46,923","1,508",24,-27.6215384615384,0,1230569163845816320,"en","No explanation as to how #coronavirus made it to Iran. #coronaviruschina #COVID19 #WuhanCoronavirus","west of the Mississippi"
152,"Missouri","6,137,428","68,742","965",25,4.55769230769232,1,1233770599190679552,"en","@MoooPapa @Twin_Travel You're absolutely correct! The #MockingbirdMedia #PropagandaOutlets have ginned this Coronavirus up and have further brainwashed their radical, far-left liberal audience into believing that this is worse than to seasonal flu that kills 2000 to 4000 americans yearly!","Missouri, USA"
626,"Florida","21,477,737","53,625","12,133",9,61.4504545454545,0,1232976001556193280,"en","Claims Trump lied in his press conference yesterday about the coronavirus just to make the stock market go up. I'll take t","Florida, USA"
12,"Arkansas","3,017,804","52,035","1,143",4,36.6637837837838,0,1230574567560818688,"en","""This study found that the age-adjusted percentage of current (informal, unpaid) caregivers who reported that their health was fair or poor was nearly 20%, with estimates ranging as high as one third in Arkansas and Puerto Rico.""","Arkansas"
499,"Georgia","10,617,423","57,513","1,912",10,55.2152941176471,0,1233783571959160832,"en","Pres@realDonaldTrump Could Suck The Coronavirus Out Of 60,000 People &amp; He'd Still Be Criticized But the tr","Georgia USA"
113,"Nevada","3,080,156","109,781","791",28,35.3094117647059,0,1232889167387877376,"en","Russia Russia Russia - Quid-pro-quo - Russia Russia Russia - CoronaVirus Holy shit give it a rest. Trump's your preside","Nevada, USA"
626,"Florida","21,477,737","53,625","12,133",9,47.9132352941177,0,1233783231276834816,"en","@SecAzar @BillHemmer GOD BLESS YOU MR. AZAR - BEST SUCCESS IN SMASHING THE CORONA VIRUS I BELIEVE IN YOU AND YOUR TEAM AND I PRAY YOU QUICKLY RESOLVE AND NEUTRALIZE THIS THREAT TO HUMANS &lt;3","South Florida, USA"
626,"Florida","21,477,737","53,625","12,133",9,33.575,0,1232320872461021184,"en","Carnival Clown barking again.","Florida  "
822,"Illinois","12,671,821","55,519","2,395",13,64.6628571428572,0,1232331809981071360,"en","Donny fired the whole CDC that deals with a global health crisis. Why would anyone believe he has anything under cont","Illinois, USA near St Louis"
3191,"New York","19,453,561","47,126","7,429",32,49.9140909090909,0,1224197574699180032,"en","At the time of Jared Kushner's secret meeting in China, the Kushner family was under fire for its pursuit of overseas investo","Brooklyn, NY USA"
814,"California","39,512,223","155,779","7,916",5,29.18,0,1231309779399671808,"en","#coronavirus is incredibly infectious. The world needs to mount a massive effort to thwart the worst possible impacts of this #zoonotic #disease. #CoronaOutbreak #COVD19 #2019_nCov","California, USA"
367,"Texas","28,995,881","261,232","7,365",43,-15.6175,0,1224200079327813632,"en","Police admonishing woman for posting info about #Coronarivus on #socialmedia, saying everywhere in China, only authoriti","Houston, Texas"
499,"Georgia","10,617,423","57,513","1,912",10,76.8322727272727,0,1231312213102735360,"en","Should read - After 100% support from millions of MAGA voters for years, Clint Eastwood sells them all out, and the USA, for","Georgia, USA"
105,"Tennessee","6,829,174","41,235","909",42,62.8763157894737,0,1228437530724401152,"en","First, they covered up the truth, second, they said this disease was preventable and controllable, third, they locked yo","Tennessee"
626,"Florida","21,477,737","53,625","12,133",9,30.53,0,1227745338917679104,"en","Coronavirus gets official name from WHO: COVID-19","Sur de la Florida"
3191,"New York","19,453,561","47,126","7,429",32,35.5107142857143,0,1228257418813071360,"en","Are the Chinese Assassinating those Sick with the Coronavirus that Refuse to be Evacuated?","New York, NY"
510,"Washington","7,614,893","66,456","4,842",47,46.9450000000001,0,1227958232049565696,"en","Communist Party has put #HongKong and now the entire world at risk because of the #coronavirus, very much including th","Seattle WA USA"
3191,"New York","19,453,561","47,126","7,429",32,40.09,0,1232314170403696640,"en","Jabil expects softer Q2 due to coronavirus $JBL","New York, NY"
3191,"New York","19,453,561","47,126","7,429",32,50.665,0,1227763741745438720,"en","Coronavirus: More than 14,800 new cases reported yesterday","New York City"
79,"North Carolina","10,488,084","48,618","5,201",33,45.0657894736842,0,1232314543671517184,"en","The Trump Administrations failure to take Cornavirus seriously is so frightening. It will cost lives. Many of us were","North Carolina, USA"
367,"Texas","28,995,881","261,232","7,365",43,64.6628571428572,0,1232998356504502272,"en","The dont test, dont tell policy of the CDC came crashing down tonight. Community transmission is here in the US, an","Texas, USA"
626,"Florida","21,477,737","53,625","12,133",9,55.575,1,1232993748352733184,"en","The CDC reported the first case of coronavirus infection in a person who had no known source of contact with the virus. via @HuffPostPol","South Florida, USA"
626,"Florida","21,477,737","53,625","12,133",9,35.5107142857143,0,1.224274775046e+18,"en","China says US hasn't given any significant help in coronavirus outbreak, created panic: report","Florida, USA"
3191,"New York","19,453,561","47,126","7,429",32,90.9585714285714,0,1224272680087687168,"en","BREAKING NEWS (and really GREAT news, too):","New York, USA"
312,"Ohio","11,689,100","40,861","3,965",35,37.9,0,1230554983281483776,"en","BREAKING: South Korea reports 1st death from coronavirus - Yonhap","Ohio, USA"
898,"Massachusetts","6,892,503","7,800","2,754",21,44.52,0,1223416051041492992,"en","Add profiting from global pandemics to this administration's laundry list of cruelty. Remember when we were a model to the re","Boston, MA (Roslindale)"
152,"Missouri","6,137,428","68,742","965",25,61.89,0,1230565585672499200,"en","Damn DEMS have probably already sold us out through BLOOMBERG AND BIDEN REMEMBER CHINA 2030?","Missouri, USA"
398,"Colorado","5,758,736","103,642","452",6,64.6628571428572,0,1233767905696698368,"en","Theres much we dont yet know about coronavirus. But we do know that global outbreaks often hit the worlds poorest peop","Denver, Colorado"
152,"Missouri","6,137,428","68,742","965",25,10.4270588235294,0,1233759463322128384,"en","This is a total lie from Politico reporter @nancook. President @realDonaldTrump said attempts to politicize the coronavi","Jackson, MO USA"
859,"Pennsylvania","12,801,989","44,743","1,312",38,36.62,0,1226228775542820864,"en","Scary","Pennsylvania, USA"
510,"Washington","7,614,893","66,456","4,842",47,44.52,0,1225522694906499072,"en","BREAKING: A Chinese doctor who sounded an early warning about the new coronavirus outbreak has died of the illness, hospital says."," Dry side of WA state"
822,"Illinois","12,671,821","55,519","2,395",13,22.7862068965517,0,1226228138595713024,"en","Demonrats approved new articles of impeachment due to Corona virus infections being only in blue states. President Trump countered with this just confirmed Demonrat inability to protect the country.","0.4 miles from IL border IN"
859,"Pennsylvania","12,801,989","44,743","1,312",38,121.22,0,1225524181506371584,"en","Fact.","Pennsylvania, USA"
367,"Texas","28,995,881","261,232","7,365",43,69.788,0,1227084895975018496,"en","Well now we need a chat about China hacking into the credit bureau and stealing 1/2 of our whole SS#,s and DL#s. Next we ne","Texas, USA"
436,"Indiana","6,732,219","35,826","593",14,53.971052631579,0,1227092902981111808,"en","Sick: Border Patrol officers intercepted a passenger from China carrying 200 dead birds in his suitcase He was trying","Near East, Indianapolis"
167,"Wisconsin","5,822,434","54,158","11,339",49,58.4075,0,1229866218548551680,"en","Locusts Multiply by the Millions, Plague Spreads Beyond Africa to China, Could Be Greater in Months","Wisconsin"
0,"Vermont","623,989","9,217","400",45,120.205,0,1227081382201118720,"en","OUTBREAK (1995)","Vermonter living in MA"
3191,"New York","19,453,561","47,126","7,429",32,47.565,2,1229869008998084608,"en","We are looking to create a range of values because the coronavirus is an ongoing and evolving situation.","New York, NY"
398,"Colorado","5,758,736","103,642","452",6,-1.27499999999998,2,1229872574357630976,"en","Take simple daily precautions to help prevent the spread of respiratory illnesses like #Coronavirus Disease 2019. @CDPHE has updates on #COVID19 prevention at #BESafe #SchoolSafety @JeffcoPH @DDPHE @ColoradoKidsOrg @Safe2TellCO @ColoradoSun","Colorado"
822,"Illinois","12,671,821","55,519","2,395",13,34.1609090909091,0,1227206195993182208,"en","Bat meat still popular in parts of Indonesia, despite coronavirus fears","US - IL - ID"
859,"Pennsylvania","12,801,989","44,743","1,312",38,40.4914285714286,0,1227202706206527488,"en","PSA Many many factories in China have been forced to take another mandatory two weeks off with the Coronavirus outbreak. Pl","Pennsylvania, USA"
3191,"New York","19,453,561","47,126","7,429",32,-2.20999999999998,0,1227208560934825984,"en","Chinas online censors tighten grip after brief coronavirusrespite","New York, New York"
105,"Tennessee","6,829,174","41,235","909",42,35.605,0,1229687599293440000,"en","Magats beware:","Tennessee, USA"
367,"Texas","28,995,881","261,232","7,365",43,65.2959090909091,0,1229893990071312384,"en","This notice is 6 months old , if China essentially can lock down the whole country in response to the Virus why cant","Texas, USA"
510,"Washington","7,614,893","66,456","4,842",47,69.4639130434783,0,1229862606028050432,"en","""A green #BRI would be not only good for the world, it also would be good for China,"" @Leonardo_MD1 from @wrifinance told @CC_Yale.","Washington, DC"
626,"Florida","21,477,737","53,625","12,133",9,68.6914285714286,0,1233798062679744512,"en","Hey y'all, in your quest to stay coronavirus free, make sure you don't slip right into racism. It's never in fashion.","Orlando, Florida"
367,"Texas","28,995,881","261,232","7,365",43,52.5771428571429,0,1225546366576975872,"en","2/6 #coronavirus Wuhan, Fang Cang Quarantine Center is 2nd grade location for confirmed case. Bed was arranged 1 by 1 wit","Victoria, Texas"
510,"Washington","7,614,893","66,456","4,842",47,32.505,0,1225546673692323840,"en","The New Coronavirus Is Affecting Chinese Factories And The Global Supply Chain","Washington DC"
150,"Alabama","4,903,185","50,645","1,775",1,61.4504545454545,0,1225548778133950464,"en","2/6 #coronavirus A young couple held each other, crying hard and helplessly. They were put into a small closed metal box in","Alabama, USA"
3191,"New York","19,453,561","47,126","7,429",32,61.89,0,1233784231916179456,"en","Canada Dry dropping a loud pack just in time to combat coronavirus. Look at that.","Some Venue in New York City"
150,"Alabama","4,903,185","50,645","1,775",1,63.695,0,1227113874278768640,"en","Are we really getting the full story China? How many infected? How many dead? #MAGA #KAG","Alabama/Louisiana USA"
510,"Washington","7,614,893","66,456","4,842",47,58.4075,0,1233016459397386240,"en","Putting Mike Pence in charge of the coronavirus is like having Casey Anthony watch your kids.","Washington, DC"
167,"Wisconsin","5,822,434","54,158","11,339",49,87.8552173913044,0,1233015535622926336,"en","ABC News might have mentioned in this tweet that, in fact, Pence does NOT have a talent for this. They could mention t","Madison, Wisconsin"
3191,"New York","19,453,561","47,126","7,429",32,53.7595454545455,0,1233584805578711040,"en","preparing in advance for a bunch of racists to blame this on the nebulous ""china"" forcing the individual known as ""disney"" t","New York"
814,"California","39,512,223","155,779","7,916",5,57.605,0,1232925299530010624,"en","Oh boy. UC Davis Medical Center suspected a coronavirus case and asked the CDC for a test: CDC said didn't fit criteria,","California, USA"
173,"Arizona","7,278,717","113,594","396",3,27.436511627907,5,1233579115560591360,"en","Funny, the WORLD is responding to corona virus and its spreading like crazy but OUR stupid countrys leaders call it a hoax. Well, non believers might thin out the herd of Republicans because they believe every word he breathes. #SurvivalOfFittest. Stay healthy Dems!!!!","Arizona, USA"
3725,"New Jersey","8,882,190","7,354","1,368",30,46.6020408163266,0,1233586254689787904,"en","@mcm_ct I see bounce to 3050/3120 max and a sell off all the way to 2600 where the monthly support is. I want to see people in full blown panic not optimistic abt buying dips. coronavirus selloff almost as non-sensical as trump talking market up last year. It works.","New Jersey, USA"
436,"Indiana","6,732,219","35,826","593",14,61.89,0,1233587329991835648,"en","Canada Dry dropping a loud pack just in time to combat coronavirus. Look at that.","Indianapolis, IN"
3191,"New York","19,453,561","47,126","7,429",32,17.9323076923077,0,1227782557514784768,"en","Update: Containment is not working ""Xi's communist malfeasance and misrule fueled #China's #coronavir","New York, USA"
436,"Indiana","6,732,219","35,826","593",14,75.875,0,1227777698686218240,"en","Keeps them from protesting","Elwood,Indiana"
111,"South Carolina","5,148,714","30,061","1,960",40,50.61,0,1227781322778779648,"en","China Reports Huge Jump In New Coronavirus Infections And Deaths; Oil, Stocks Tumble | Zero Hedge","North Myrtle Beach, SC USA"
152,"Missouri","6,137,428","68,742","965",25,56.6057142857143,0,1232349363155820544,"en","ENEMY OF THE TRUTH: Communist China silenced doctor who tried to warn the world about CV, he was reprimanded for spreadin","Missouri, USA"
173,"Arizona","7,278,717","113,594","396",3,53.971052631579,0,1227802881266335744,"en","Sick: Border Patrol officers intercepted a passenger from China carrying 200 dead birds in his suitcase He was trying","Arizona, USA"
